"x","n"
5.57715870229597,2
7.97741109949406,4
6.89605928880011,3
7.83651454048391,3
6.18495318751508,2
8.11989835513261,5
5.37887290146853,2
5.87649237059825,3
6.15745801125927,3
9.22615342766638,5
5.05279255363661,2
5.78439810884777,2
5.86884973072845,2
5.96787342534179,3
6.32288622222441,2
6.80425526337048,3
7.78513210429264,4
13.2261874808131,13
6.16723095255933,2
7.49196071340957,3
5.77551768556665,3
9.56962816766816,5
10.9373910227409,8
5.41526249331529,2
5.21670502440848,2
6.1455804009019,2
5.49218537613277,2
5.24424770509659,2
11.2397277968052,8
8.63349132731108,4
5.09419055371467,2
5.57638767151805,3
5.73737185167733,2
5.47238483832508,2
6.1545628033934,3
5.57727795512337,2
6.17342161671382,2
5.91605954601121,2
6.08451108687299,2
7.45743752355982,4
6.00312419004135,2
5.58788518101788,2
5.4916686114682,2
5.74726757441496,2
7.42218368807473,4
5.85698870786552,2
5.38507740410787,2
6.94887537621906,3
6.47475007114994,3
6.73180109426596,3
5.27117761742605,2
7.42768017359402,4
15.3394617531575,20
6.65394593811645,3
5.10352163206939,2
5.13113290388648,2
5.87103439116406,2
5.38576738493214,2
9.84361483511063,6
5.28711857183511,2
6.48984497364717,3
6.02705990694438,2
5.36733243548414,2
6.00893603690661,2
5.84867550819356,3
6.52590206983857,3
5.65450174812076,3
5.62529765945176,2
6.18785802388221,2
11.3406443846012,7
5.19431975637675,2
5.71715969602717,2
6.56508521367516,3
6.3131339257883,3
5.77541459999232,3
15.4679386844853,20
5.80814444069659,2
6.05194040609051,3
5.10582225714787,2
7.5085043830368,3
7.12014267070884,3
5.93558948038552,2
5.60439529588552,2
5.85180748085996,2
5.91115492473933,3
6.60629677647082,3
6.13950055708082,2
7.0489506687713,3
5.99685710315332,3
5.11342739242125,2
7.4030854245678,3
7.30491066685397,3
5.95305043081865,2
5.03305605590372,2
5.22018535896038,2
6.28704750237694,3
5.6228469212307,3
7.65698073563695,4
16.4168125748613,24
5.92093019057187,2
5.52417312631176,2
5.19761630355851,2
6.13752481786404,3
5.4981781292224,2
5.19656687503176,2
5.73685809481304,2
6.33936672293339,3
8.07212576413288,4
5.46223409673065,2
6.61261469354817,3
7.0686769645268,3
6.13190831801644,2
5.35734000888263,2
5.50467839912121,2
5.87821011495977,2
6.01241893326069,2
5.42431279941841,2
9.10674597509796,6
5.88445537261748,2
8.29231093871544,5
7.11884072731173,3
9.61596477749004,6
5.31717739240057,2
9.94504245519277,5
5.15735482694569,2
6.15763052567551,3
7.85718701040173,3
6.67072910040259,3
6.25621014150718,2
7.53386869145811,4
5.2345096330494,2
5.84292701692979,3
5.30243740546629,2
5.50769164967351,3
5.91936862860301,2
6.60655783127682,3
7.04527914785631,3
6.31890016919159,3
10.2341355862253,6
5.23448776868064,1
5.52389123445354,2
5.18059823084391,2
5.98842595779754,2
7.95637868350978,4
5.96263261223164,3
5.33939921906636,2
6.37191609468584,2
5.18599719881227,2
5.46968341224076,2
6.855869842638,3
7.18437686719735,4
6.01179766229864,2
6.37788681928805,2
6.44898414654708,3
8.03406660499173,3
10.1717578758979,6
5.87797947022357,2
5.09897014861201,2
5.66567260970697,2
6.95748476313187,3
5.73422423211988,2
5.80144966097034,2
5.68257443643278,2
5.45773249872993,2
5.29484932682589,2
5.97140640383172,2
5.43798068496709,3
5.46882441194353,2
5.58188262264373,3
5.25928678413255,2
5.63935116880464,2
7.07099471463028,3
5.79372495399572,2
5.3915908418925,2
5.52141671134014,2
5.32415527304965,2
5.79925766227792,3
5.2880377424686,2
5.10236550930385,2
5.29565075201352,2
5.8306751175941,2
7.85395208382391,3
5.10849541153422,3
5.86133213483713,3
6.16183163230548,2
9.24262069394886,5
8.63666368608778,4
6.17963766748798,3
6.2236402568549,3
5.81861661044091,2
6.75583591852399,3
5.55262179795982,2
6.75105313330234,3
5.635457716945,2
7.00026877110653,3
5.93978382612499,2
5.29491917757646,2
6.73677512773308,3
5.73617344622387,2
6.67656699155817,3
