"market","Product","Shares","Prices","x","z"
1,1,0.156428972935471,3.38617162941879,-0.549638002985913,0.917209191352228
1,2,0.25298876185558,3.50600158229577,0.238598455101802,0.404020278718373
1,3,0.056302256009378,3.03628253898622,-1.81213551705693,0.540191937408065
1,4,0.114950118550663,2.95412972715063,0.290445173288185,0.226035550900498
1,5,0.0707801237153802,3.13695427306697,0.760511165751648,0.642931712165865
1,6,0.103112120686397,3.25533451347853,0.555192677018208,0.596512614317799
2,1,0.302498422460266,3.55355301771894,1.09105416436885,0.387244876954458
2,2,0.240324536064782,3.27861191475215,1.08334752802684,0.31265279716999
2,3,0.0542159622201767,2.93911791788281,-1.07343536568356,0.793228302534251
2,4,0.0816587239505566,2.88959713637542,-0.907374225339797,0.0900502367103714
2,5,0.0885581968792913,3.17786024094313,0.826279599994591,0.576499928141431
2,6,0.0519041221461889,2.91959060846601,0.378152975192102,0.470244145461711
3,1,0.263171661978109,3.48430820297346,0.639777673808113,0.369477482022497
3,2,0.149133376549269,3.6023456793568,-0.119117282689762,0.992962861532873
3,3,0.0591873530753565,3.1445361463671,-0.128461077983977,0.456897943147279
3,4,0.0643179689762088,2.86498596138864,-1.42886716380374,0.487041079536967
3,5,0.145195288567099,3.21350700292312,2.2771424711818,0.874589660611381
3,6,0.0484793535730466,3.11255956126412,-2.03454164768582,0.718106527005137
4,1,0.215582332867078,3.36739690671492,1.04257602397755,0.658306418306384
4,2,0.285071868413258,3.74015683796165,1.45102076637246,0.640979657062568
4,3,0.0536290124944233,3.0272304106115,0.0803065875177669,0.700407681325911
4,4,0.107622489510406,3.23958254926473,0.844858540685252,0.759234959698175
4,5,0.0653622671408326,3.33942866994005,-1.29580802736793,1.04750816921613
4,6,0.078712474357918,3.06742021519376,0.196847004414959,0.648024540004605
5,1,0.239068929828534,3.49229810628564,0.169703269600103,0.657097570325841
5,2,0.150715312101644,3.27427240539685,0.035766216525935,0.175144825994932
5,3,0.0782272985288966,2.77734537474177,-0.731728485132164,0.0552929865341721
5,4,0.105075985384768,3.18280912248902,0.356856175800368,0.697726113948107
5,5,0.0820913637858983,2.93017861616485,-0.23275473908579,0.521016644548097
5,6,0.0762042235986364,3.04655649003438,-1.28180741608808,0.435600353110232
6,1,0.201378073192673,3.42184290242506,1.13780042280756,0.646079997202678
6,2,0.185110379547392,3.42752687437889,0.984736019512206,0.502155326524984
6,3,0.0764945363900764,3.02718885664135,-0.899757734273101,0.600493933271599
6,4,0.0902450754567303,3.01411280374868,0.410345728262696,0.324394607592867
6,5,0.0676631736702238,2.97859215004,-0.141165033670431,0.480455378444145
6,6,0.162429943856174,3.06347438863003,1.8469804106126,0.115588753457813
7,1,0.205172498297961,3.26452925577614,-0.970554482468655,0.145810973661041
7,2,0.276993276068663,3.5531527374028,0.634585986851274,0.413402814961559
7,3,0.072449628702088,3.12523445795345,-0.671407268536903,0.922214445584965
7,4,0.0431325343781082,2.97491108566703,-1.1953530297201,0.424043088567227
7,5,0.0781309159433356,2.76922354961681,-1.02206043817465,0.147969802373081
7,6,0.086026947016189,2.93944962617551,-1.27094096226352,0.543149652689168
8,1,0.138232784584236,3.56021775374413,-0.131827279053194,1.09656322859397
8,2,0.296744808751506,3.50534200338486,1.07020846193656,0.178928019880764
8,3,0.122529552902069,2.98715905278257,1.24871811754964,0.29490287009115
8,4,0.0512481984605131,2.79686816905162,-0.96087429670159,0.466130588250557
8,5,0.112490422898658,3.06927368737513,-0.363602734523528,0.432257611587076
8,6,0.0701069685287805,2.88501006541761,0.484075388279216,0.181383887832068
9,1,0.22634541711904,3.22966662072885,0.14622623095032,0.275386676383585
9,2,0.148750889268598,3.30186539708411,-0.489142417908538,0.492851072612184
9,3,0.0907501882491274,2.96226181545454,-0.115778935797667,0.707421703783126
9,4,0.13458918289459,3.11022262696134,1.55485189292838,0.404066834344464
9,5,0.0980685473175316,2.94288590605786,-0.115011758193955,0.229920408684261
9,6,0.0749181268679232,3.13013504497177,-0.157577809681774,0.912467446804411
10,1,0.282547544511534,3.59064325536408,1.44129222418234,0.459889203022618
10,2,0.11676490708179,3.1789282000777,-0.980147712873219,0.811801579065105
10,3,0.0548058202828981,3.00972463702949,-1.36187158527857,0.484449639553369
10,4,0.0580523208373733,2.92996536043149,-0.424388714281166,0.489056142977539
10,5,0.121037599673277,3.14014324182392,-0.0773631735541161,0.524676890772946
10,6,0.146998500593312,3.14885630048304,1.12966097129972,0.542129697728496
11,1,0.137145449186178,3.13019835630335,-2.94138512782511,0.322134172210607
11,2,0.251385156173306,3.34982978851264,-0.276687315146308,0.204044344637409
11,3,0.115904947449759,3.26545225328855,2.34750741923631,0.818875299209354
11,4,0.0672830670636601,3.04857103940769,-1.86769881319556,0.72279155730035
11,5,0.0681863222675703,3.00412946988816,-0.502772522490917,0.813491010738338
11,6,0.0775842179829998,3.06801852066352,-1.42251513225365,0.541869327324007
12,1,0.188959100222313,3.51205746235849,-0.242838595616744,0.581232609220744
12,2,0.162552867583474,3.37337064368946,-0.485669453114705,0.650836822866462
12,3,0.112865145877885,3.35707040520056,-0.0115421703607328,0.894055593349369
